seed,algorithm,condition,n_iter,surrogates_fitted,search_kappa,repeated_cv_mean,repeated_cv_sd,ci95_low,ci95_high,heldout_kappa,heldout_auc,accuracy,best_params
2718,LogisticRegression,random5,5,1,0.8384119474413507,0.8337918546905658,0.0737675906517445,0.819340552462802,0.8481222180334607,0.6923076923076923,0.9392361111111112,0.875,"{""LGR__C"": 27.909739940107244, ""LGR__penalty"": ""l2"", ""LGR__solver"": ""lbfgs""}"
2718,LogisticRegression,bayes15,15,6,0.8444340744237089,0.8391699474829443,0.0717458774632424,0.8249382286955552,0.8531906580959466,0.6923076923076923,0.943287037037037,0.875,"{""LGR__C"": 13.531245112379345, ""LGR__penalty"": ""l2"", ""LGR__solver"": ""lbfgs""}"
2718,LogisticRegression,random15,15,1,0.8384119474413507,0.8337918546905658,0.0737675906517445,0.819340552462802,0.8481222180334607,0.6923076923076923,0.9392361111111112,0.875,"{""LGR__C"": 27.909739940107244, ""LGR__penalty"": ""l2"", ""LGR__solver"": ""lbfgs""}"
3,MLP,random5,5,1,0.8261283679219789,0.7903462791504231,0.0720098238052081,0.7762812554600664,0.8040422777756566,0.620253164556962,0.8987268518518519,0.84375,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0003920373999582e-05, ""NN__hidden_layer_sizes"": 7, ""NN__learning_rate_init"": 2.953795772549548e-07}"
3,MLP,bayes15,15,6,0.8443767683884207,0.8142773433676851,0.0612317286603253,0.802478877608906,0.825973158566018,0.7222222222222222,0.914351851851852,0.8958333333333334,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0005942656275361e-05, ""NN__hidden_layer_sizes"": 14, ""NN__learning_rate_init"": 1.0286759874233037e-07}"
3,MLP,random15,15,1,0.8261283679219789,0.7903462791504231,0.0720098238052081,0.7762812554600664,0.8040422777756566,0.620253164556962,0.8987268518518519,0.84375,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0003920373999582e-05, ""NN__hidden_layer_sizes"": 7, ""NN__learning_rate_init"": 2.953795772549548e-07}"
3,SVM,random5,5,1,0.8619627928119165,0.8453992602520127,0.0733542185225958,0.8313498715160516,0.8595289334057552,0.7534246575342466,0.918402777777778,0.90625,"{""svm__C"": 0.6231565523357376, ""svm__gamma"": 0.20626480486887533, ""svm__kernel"": ""rbf""}"
3,SVM,bayes15,15,6,0.8798959147464984,0.8504940686335029,0.0734314320099536,0.8364982961275541,0.86451475750297,0.736842105263158,0.9276620370370372,0.8958333333333334,"{""svm__C"": 1.0, ""svm__gamma"": 0.06930056855471568, ""svm__kernel"": ""rbf""}"
3,SVM,random15,15,1,0.8619627928119165,0.8453992602520127,0.0733542185225958,0.8313498715160516,0.8595289334057552,0.7534246575342466,0.918402777777778,0.90625,"{""svm__C"": 0.6231565523357376, ""svm__gamma"": 0.20626480486887533, ""svm__kernel"": ""rbf""}"
3,XGBoost,random5,5,1,0.8502429241388038,0.8358718220997662,0.0829356788304908,0.8195605137646522,0.8518281997386964,0.6708860759493671,0.935763888888889,0.8645833333333334,"{""xgb__colsample_bytree"": 0.52706662182667, ""xgb__gamma"": 3.2860628256864723, ""xgb__learning_rate"": 0.02055474124109102, ""xgb__max_depth"": 6, ""xgb__max_leaves"": 59, ""xgb__min_child_weight"": 0.31786469491286573, ""xgb__n_estimators"": 83, ""xgb__reg_alpha"": 1.6459518237317174e-07, ""xgb__reg_lambda"": 0.03712698240360151, ""xgb__subsample"": 0.7961604419189741}"
3,XGBoost,bayes15,15,6,0.8981374222750743,0.8823034092886339,0.07228371343297,0.8679980844076928,0.8964029867808957,0.736842105263158,0.9403935185185184,0.8958333333333334,"{""xgb__colsample_bytree"": 0.4, ""xgb__gamma"": 0.0, ""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 6, ""xgb__max_leaves"": 50, ""xgb__min_child_weight"": 0.3346616417692437, ""xgb__n_estimators"": 336, ""xgb__reg_alpha"": 1e-08, ""xgb__reg_lambda"": 0.0011449936010300714, ""xgb__subsample"": 0.7765063860116326}"
3,XGBoost,random15,15,1,0.8861464351765566,0.8658049408793087,0.0756089199592512,0.8507864605740602,0.8807346741513226,0.6923076923076923,0.9369212962962964,0.875,"{""xgb__colsample_bytree"": 0.44346649530050514, ""xgb__gamma"": 1.0310914937893065, ""xgb__learning_rate"": 0.01089385311251328, ""xgb__max_depth"": 7, ""xgb__max_leaves"": 50, ""xgb__min_child_weight"": 0.531229913268943, ""xgb__n_estimators"": 278, ""xgb__reg_alpha"": 4.1608049578892297e-08, ""xgb__reg_lambda"": 0.0024842278495273247, ""xgb__subsample"": 0.7627000835522725}"
3,LogisticRegression,random5,5,1,0.8444340744237089,0.8379713193620689,0.0740019170737113,0.823424145709573,0.8523598690488046,0.6923076923076923,0.9427083333333334,0.875,"{""LGR__C"": 11.183714984437357, ""LGR__penalty"": ""l2"", ""LGR__solver"": ""lbfgs""}"
3,LogisticRegression,bayes15,15,6,0.8444340744237089,0.8379713193620689,0.0740019170737113,0.823424145709573,0.8523598690488046,0.6923076923076923,0.9427083333333334,0.875,"{""LGR__C"": 11.183714984437357, ""LGR__penalty"": ""l2"", ""LGR__solver"": ""lbfgs""}"
3,LogisticRegression,random15,15,1,0.8444340744237089,0.8379713193620689,0.0740019170737113,0.823424145709573,0.8523598690488046,0.6923076923076923,0.9427083333333334,0.875,"{""LGR__C"": 11.183714984437357, ""LGR__penalty"": ""l2"", ""LGR__solver"": ""lbfgs""}"
42,MLP,random5,5,1,0.8443767683884207,0.8142773433676851,0.0612317286603253,0.802478877608906,0.825973158566018,0.7222222222222222,0.9146412037037036,0.8958333333333334,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0004341087233481e-05, ""NN__hidden_layer_sizes"": 14, ""NN__learning_rate_init"": 2.069186296126173e-07}"
42,MLP,bayes15,15,6,0.8443767683884207,0.8142773433676851,0.0612317286603253,0.802478877608906,0.825973158566018,0.7222222222222222,0.9146412037037036,0.8958333333333334,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0004341087233481e-05, ""NN__hidden_layer_sizes"": 14, ""NN__learning_rate_init"": 2.069186296126173e-07}"
42,MLP,random15,15,1,0.8443767683884207,0.8142773433676851,0.0612317286603253,0.802478877608906,0.825973158566018,0.7222222222222222,0.9146412037037036,0.8958333333333334,"{""NN__activation"": ""tanh"", ""NN__alpha"": 1.0004341087233481e-05, ""NN__hidden_layer_sizes"": 14, ""NN__learning_rate_init"": 2.069186296126173e-07}"
42,SVM,random5,5,1,0.8798959147464984,0.8484082192498674,0.0738068867946845,0.83427868589639,0.8625556902897938,0.736842105263158,0.9288194444444444,0.8958333333333334,"{""svm__C"": 0.8702811428778612, ""svm__gamma"": 0.07517239253342656, ""svm__kernel"": ""rbf""}"
