System,RMSD_A
Ifenprodil (3QEL),0.5331
Ifenprodil (3QEL),0.5361
Ifenprodil (3QEL),0.5374
Ifenprodil (3QEL),0.5385
Ifenprodil (3QEL),0.5385
Ifenprodil (3QEL),0.5388
Ifenprodil (3QEL),0.5403
Ifenprodil (3QEL),0.5424
Ifenprodil (3QEL),0.5444
Ifenprodil (3QEL),0.5451
Ifenprodil (3QEL),0.5457
Ifenprodil (3QEL),0.5463
Ifenprodil (3QEL),0.5473
Ifenprodil (3QEL),0.5475
Ifenprodil (3QEL),0.5486
Ifenprodil (3QEL),0.5502
Ifenprodil (3QEL),0.5505
Ifenprodil (3QEL),0.5512
Ifenprodil (3QEL),0.5516
Ifenprodil (3QEL),0.5521
Ifenprodil (3QEL),0.5525
Ifenprodil (3QEL),0.5533
Ifenprodil (3QEL),0.5536
Ifenprodil (3QEL),0.5545
Ifenprodil (3QEL),0.5555
Ifenprodil (3QEL),0.5558
Ifenprodil (3QEL),0.5571
Ifenprodil (3QEL),0.5574
Ifenprodil (3QEL),0.5577
Ifenprodil (3QEL),0.5585
Ifenprodil (3QEL),0.5586
Ifenprodil (3QEL),0.5587
Ifenprodil (3QEL),0.5589
Ifenprodil (3QEL),0.5595
Ifenprodil (3QEL),0.5602
Ifenprodil (3QEL),0.5611
Ifenprodil (3QEL),0.5612
Ifenprodil (3QEL),0.5614
Ifenprodil (3QEL),0.562
Ifenprodil (3QEL),0.5622
Ifenprodil (3QEL),0.5625
Ifenprodil (3QEL),0.5638
Ifenprodil (3QEL),0.5638
Ifenprodil (3QEL),0.564
Ifenprodil (3QEL),0.5647
Ifenprodil (3QEL),0.5675
Ifenprodil (3QEL),0.5679
Ifenprodil (3QEL),0.568
Ifenprodil (3QEL),0.5698
Ifenprodil (3QEL),0.5703
Ifenprodil (3QEL),0.5727
Ifenprodil (3QEL),0.5734
Ifenprodil (3QEL),0.5739
Ifenprodil (3QEL),0.5741
Ifenprodil (3QEL),0.5753
Ifenprodil (3QEL),0.5754
Ifenprodil (3QEL),0.5756
Ifenprodil (3QEL),0.5768
Ifenprodil (3QEL),0.5768
Ifenprodil (3QEL),0.5771
Ifenprodil (3QEL),0.5773
Ifenprodil (3QEL),0.5779
Ifenprodil (3QEL),0.5788
Ifenprodil (3QEL),0.5802
Ifenprodil (3QEL),0.5825
Ifenprodil (3QEL),0.5827
Ifenprodil (3QEL),0.5848
Ifenprodil (3QEL),0.5856
Ifenprodil (3QEL),0.5877
Ifenprodil (3QEL),0.5878
Ifenprodil (3QEL),0.5878
Ifenprodil (3QEL),0.5885
Ifenprodil (3QEL),0.5894
Ifenprodil (3QEL),0.5897
Ifenprodil (3QEL),0.5906
Ifenprodil (3QEL),0.591
Ifenprodil (3QEL),0.5944
Ifenprodil (3QEL),0.5954
Ifenprodil (3QEL),0.5966
Ifenprodil (3QEL),0.5967
Ifenprodil (3QEL),0.5977
Ifenprodil (3QEL),0.5999
Ifenprodil (3QEL),0.6
Ifenprodil (3QEL),0.6009
Ifenprodil (3QEL),0.6018
Ifenprodil (3QEL),0.6023
Ifenprodil (3QEL),0.6034
Ifenprodil (3QEL),0.6038
Ifenprodil (3QEL),0.6049
Ifenprodil (3QEL),0.6049
Ifenprodil (3QEL),0.6057
Ifenprodil (3QEL),0.6059
Ifenprodil (3QEL),0.6061
Ifenprodil (3QEL),0.6071
Ifenprodil (3QEL),0.6077
Ifenprodil (3QEL),0.6082
Ifenprodil (3QEL),0.6082
Ifenprodil (3QEL),0.6083
Ifenprodil (3QEL),0.61
Ifenprodil (3QEL),0.6117
Ifenprodil (3QEL),0.6141
Ifenprodil (3QEL),0.6142
Ifenprodil (3QEL),0.6145
Ifenprodil (3QEL),0.6149
Ifenprodil (3QEL),0.6164
Ifenprodil (3QEL),0.6173
Ifenprodil (3QEL),0.6196
Ifenprodil (3QEL),0.62
Ifenprodil (3QEL),0.6203
Ifenprodil (3QEL),0.624
Ifenprodil (3QEL),0.6257
Ifenprodil (3QEL),0.6258
Ifenprodil (3QEL),0.6261
Ifenprodil (3QEL),0.6282
Ifenprodil (3QEL),0.6284
Ifenprodil (3QEL),0.6298
Ifenprodil (3QEL),0.6306
Ifenprodil (3QEL),0.6311
Ifenprodil (3QEL),0.6313
Ifenprodil (3QEL),0.6318
Ifenprodil (3QEL),0.6352
Ifenprodil (3QEL),0.6352
Ifenprodil (3QEL),0.6356
Ifenprodil (3QEL),0.6364
Ifenprodil (3QEL),0.6367
Ifenprodil (3QEL),0.6387
Ifenprodil (3QEL),0.6397
Ifenprodil (3QEL),0.6401
Ifenprodil (3QEL),0.6402
Ifenprodil (3QEL),0.6403
Ifenprodil (3QEL),0.6403
Ifenprodil (3QEL),0.6419
Ifenprodil (3QEL),0.643
Ifenprodil (3QEL),0.6431
Ifenprodil (3QEL),0.6447
Ifenprodil (3QEL),0.645
Ifenprodil (3QEL),0.6451
Ifenprodil (3QEL),0.6453
Ifenprodil (3QEL),0.6457
Ifenprodil (3QEL),0.646
Ifenprodil (3QEL),0.647
Ifenprodil (3QEL),0.6473
Ifenprodil (3QEL),0.6506
Ifenprodil (3QEL),0.6511
Ifenprodil (3QEL),0.6511
Ifenprodil (3QEL),0.6515
Ifenprodil (3QEL),0.6553
Ifenprodil (3QEL),0.6554
Ifenprodil (3QEL),0.6558
Ifenprodil (3QEL),0.6561
Ifenprodil (3QEL),0.6577
Ifenprodil (3QEL),0.6613
Ifenprodil (3QEL),0.6626
Ifenprodil (3QEL),0.6639
Ifenprodil (3QEL),0.6648
Ifenprodil (3QEL),0.6667
Ifenprodil (3QEL),0.6682
Ifenprodil (3QEL),0.6685
Ifenprodil (3QEL),0.6689
Ifenprodil (3QEL),0.6714
Ifenprodil (3QEL),0.6716
Ifenprodil (3QEL),0.6732
Ifenprodil (3QEL),0.6734
Ifenprodil (3QEL),0.6794
Ifenprodil (3QEL),0.6797
Ifenprodil (3QEL),0.6807
Ifenprodil (3QEL),0.6821
Ifenprodil (3QEL),0.6826
Ifenprodil (3QEL),0.6831
Ifenprodil (3QEL),0.6832
Ifenprodil (3QEL),0.6856
Ifenprodil (3QEL),0.6885
Ifenprodil (3QEL),0.6893
Ifenprodil (3QEL),0.6901
Ifenprodil (3QEL),0.6923
Ifenprodil (3QEL),0.6935
Ifenprodil (3QEL),0.6938
Ifenprodil (3QEL),0.695
Ifenprodil (3QEL),0.6958
Ifenprodil (3QEL),0.6972
Ifenprodil (3QEL),0.6981
Ifenprodil (3QEL),0.7012
Ifenprodil (3QEL),0.7015
Ifenprodil (3QEL),0.7029
Ifenprodil (3QEL),0.7039
Ifenprodil (3QEL),0.7076
Ifenprodil (3QEL),0.7083
Ifenprodil (3QEL),0.7119
Ifenprodil (3QEL),0.7123
Ifenprodil (3QEL),0.716
Ifenprodil (3QEL),0.721
Ifenprodil (3QEL),0.7214
Ifenprodil (3QEL),0.7279
Ifenprodil (3QEL),0.7295
Ifenprodil (3QEL),0.7372
Ifenprodil (3QEL),0.7418
Ifenprodil (3QEL),0.7425
Ifenprodil (3QEL),0.746
Ifenprodil (3QEL),0.7489
Ifenprodil (3QEL),0.749
Ifenprodil (3QEL),0.7496
Ifenprodil (3QEL),0.7538
Ifenprodil (3QEL),0.7549
Ifenprodil (3QEL),0.757
Ifenprodil (3QEL),0.7617
Ifenprodil (3QEL),0.7685
Ifenprodil (3QEL),0.7732
Ifenprodil (3QEL),0.7782
Ifenprodil (3QEL),0.781
Ifenprodil (3QEL),0.7835
Ifenprodil (3QEL),0.7873
Ifenprodil (3QEL),0.7896
Ifenprodil (3QEL),0.7899
Ifenprodil (3QEL),0.7923
Ifenprodil (3QEL),0.7982
Ifenprodil (3QEL),0.805
Ifenprodil (3QEL),0.8057
Ifenprodil (3QEL),0.8063
Ifenprodil (3QEL),0.8074
Ifenprodil (3QEL),0.8103
Ifenprodil (3QEL),0.811
Ifenprodil (3QEL),0.8154
Ifenprodil (3QEL),0.8162
Ifenprodil (3QEL),0.819
Ifenprodil (3QEL),0.8249
Ifenprodil (3QEL),0.8306
Ifenprodil (3QEL),0.8326
Ifenprodil (3QEL),0.8367
Ifenprodil (3QEL),0.8381
Ifenprodil (3QEL),0.8389
